route_id,route_no,route_name,stop_sequence,stop_id,stop_name,ars_id,longitude,latitude,source,coordinate_source,coordinate_status
100100305,6628,6628,1,115000296,외발산동기점,16408,126.8213321956,37.5452091516,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100550,662,662,1,115000296,외발산동기점,16408,126.8213321956,37.5452091516,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
103000005,한강잠실,한강잠실,1,123000065,잠실종합운동장,24154,127.073172,37.510665,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100043,261,261,1,107000238,석관고등학교후문,08335,127.0665,37.610699,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100425,1122,1122,1,107000244,상진운수종점,08342,127.065628,37.611267,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
113000003,8762출근,8762출근,1,113000202,디지털미디어시티역2번출구,14296,126.8996741287,37.5752078233,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
112000006,8762퇴근,8762퇴근,1,113000202,디지털미디어시티역2번출구,14296,126.8996741287,37.5752078233,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100166,2212,2212,1,222001651,202번종점,42067,127.1089104128,37.6466604389,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
110000009,2155,2155,1,222001651,202번종점,42067,127.1089104128,37.6466604389,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100039,202,202,1,222001651,202번종점,42067,127.1089104128,37.6466604389,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100507,6009,6009,1,123000299,가락1동주민센터,24390,127.1098466383,37.4962977643,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100009,104,104,1,108000106,강북청소년센터,09194,127.0068382647,37.6456670533,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100142,1126,1126,1,108000106,강북청소년센터,09194,127.0068382647,37.6456670533,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100137,1119,1119,1,108000106,강북청소년센터,09194,127.0068382647,37.6456670533,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100266,5634,5634,1,213000455,광명공영차고지기점,38629,126.872566389,37.4580654547,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100267,5535,5535,1,213000455,광명공영차고지기점,38629,126.872566389,37.4580654547,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100268,5536,5536,1,213000455,광명공영차고지기점,38629,126.872566389,37.4580654547,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100078,503,503,1,213000455,광명공영차고지기점,38629,126.872566389,37.4580654547,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100079,504,504,1,213000455,광명공영차고지기점,38629,126.872566389,37.4580654547,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100284,5630,5630,1,213000455,광명공영차고지기점,38629,126.872566389,37.4580654547,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100288,5714,5714,1,213000455,광명공영차고지기점,38629,126.872566389,37.4580654547,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
116000006,703,703,1,219000691,경남아너스빌.탄현역,36022,126.7642726709,37.6933934194,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
107900016,성북14-2,성북14-2,1,107900344,래미안장위퍼스트하이아파트,08832,127.0505518894,37.6195039893,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
114000002,8641,8641,1,116000021,거리공원,17107,126.891835,37.499974,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100292,6512,6512,1,116000032,구로두산아파트,17118,126.890072,37.488807,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100025,146,146,1,110000399,7단지영업소,11502,127.0637357104,37.6602778615,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100010,105,105,1,110000399,7단지영업소,11502,127.0637357104,37.6602778615,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
110000004,8146,8146,1,110000399,7단지영업소,11502,127.0637357104,37.6602778615,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100107,704,704,1,111001113,진관공영차고지,12470,126.908325,37.646847,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
111000010,7734,7734,1,111001113,진관공영차고지,12470,126.908325,37.646847,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
111000028,709,709,1,111001113,진관공영차고지,12470,126.908325,37.646847,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100203,2230,2230,1,106000089,방약국앞,07183,127.0858494168,37.5757745627,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100048,272,272,1,106000089,방약국앞,07183,127.0858494168,37.5757745627,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100204,2233,2233,1,106000091,중곡초등학교,07185,127.084205,37.572917,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100191,2112,2112,1,106000091,중곡초등학교,07185,127.084205,37.572917,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100194,2211,2211,1,106000092,중곡초등학교,07186,127.0841787922,37.5731508875,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100342,7024,7024,1,112000196,봉원사,13279,126.946105,37.570102,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100338,7018,7018,1,112000202,서부운수기점,13285,126.910257,37.581632,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
124000008,7719,7719,1,112000202,서부운수기점,13285,126.910257,37.581632,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100112,721,721,1,112000202,서부운수기점,13285,126.910257,37.581632,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
112000005,7716,7716,1,112000202,서부운수기점,13285,126.910257,37.581632,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
109000006,서울10퇴근,서울10퇴근,1,109000002,도봉산역,10002,127.0457253227,37.6885817356,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
