coordinate_station_id,coordinate_station_name,normalized_station_name,line,latitude,longitude,api_station_id,external_code,source
335,대치,대치,3,37.494601,127.063449,0335,345,seoul_openapi
340,가락시장,가락시장,3,37.492368,127.118101,0340,350,seoul_openapi
327,신사,신사,3,37.516438,127.020247,0327,337,seoul_openapi
326,압구정,압구정,3,37.526169,127.028502,0326,336,seoul_openapi
323,약수,약수,3,37.554674,127.010628,0323,333,seoul_openapi
324,금호,금호,3,37.548269,127.015785,0324,334,seoul_openapi
329,고속터미널,고속터미널,3,37.504953,127.004916,0329,339,seoul_openapi
320,을지로3가,을지로3가,3,37.566299,126.992616,0320,330,seoul_openapi
334,도곡,도곡,3,37.491129,127.055694,0334,344,seoul_openapi
333,매봉,매봉,3,37.487114,127.046907,0333,343,seoul_openapi
332,양재,양재,3,37.48466,127.03513,0332,342,seoul_openapi
319,종로3가,종로3가,3,37.571537,126.991237,0319,329,seoul_openapi
339,수서,수서,3,37.487507,127.101324,0339,349,seoul_openapi
338,일원,일원,3,37.48389,127.08416,0338,348,seoul_openapi
337,대청,대청,3,37.493607,127.079526,0337,347,seoul_openapi
325,옥수,옥수,3,37.541653,127.017303,0325,335,seoul_openapi
336,학여울,학여울,3,37.496757,127.070541,0336,346,seoul_openapi
331,남부터미널,남부터미널,3,37.48494,127.016289,0331,341,seoul_openapi
330,교대,교대,3,37.49306,127.013796,0330,340,seoul_openapi
318,안국,안국,3,37.576562,126.98547,0318,328,seoul_openapi
316,독립문,독립문,3,37.574534,126.957902,0316,326,seoul_openapi
315,무악재,무악재,3,37.582658,126.950131,0315,325,seoul_openapi
314,홍제,홍제,3,37.588851,126.944092,0314,324,seoul_openapi
342,오금,오금,3,37.502288,127.128344,0342,352,seoul_openapi
311,연신내,연신내,3,37.618855,126.920859,0311,321,seoul_openapi
310,구파발,구파발,3,37.636612,126.918827,0310,320,seoul_openapi
309,지축,지축,3,37.648281,126.912551,0309,319,seoul_openapi
322,동대입구,동대입구,3,37.55816,127.005273,0322,332,seoul_openapi
321,충무로,충무로,3,37.561302,126.995473,0321,331,seoul_openapi
328,잠원,잠원,3,37.512989,127.011613,0328,338,seoul_openapi
313,녹번,녹번,3,37.600882,126.935758,0313,323,seoul_openapi
312,불광,불광,3,37.610554,126.929843,0312,322,seoul_openapi
317,경복궁,경복궁,3,37.575844,126.973576,0317,327,seoul_openapi
341,경찰병원,경찰병원,3,37.495754,127.124198,0341,351,seoul_openapi
425,회현,회현,4,37.559698,126.979565,0425,425,seoul_openapi
433,사당,사당,4,37.476563,126.981746,0433,433,seoul_openapi
434,남태령,남태령,4,37.464339,126.989081,0434,434,seoul_openapi
432,총신대입구,총신대입구,4,37.487521,126.982309,0432,432,seoul_openapi
431,동작,동작,4,37.503567,126.980171,0431,431,seoul_openapi
430,이촌,이촌,4,37.522525,126.97335,0430,430,seoul_openapi
429,신용산,신용산,4,37.52919,126.96858,0429,429,seoul_openapi
410,상계,상계,4,37.660576,127.073199,0410,410,seoul_openapi
411,노원,노원,4,37.656274,127.063183,0411,411,seoul_openapi
412,창동,창동,4,37.652993,127.046746,0412,412,seoul_openapi
413,쌍문,쌍문,4,37.648274,127.034381,0413,413,seoul_openapi
414,수유,수유,4,37.637127,127.024731,0414,414,seoul_openapi
415,미아,미아,4,37.626435,127.026151,0415,415,seoul_openapi
416,미아사거리,미아사거리,4,37.613276,127.030083,0416,416,seoul_openapi
417,길음,길음,4,37.604087,127.025353,0417,417,seoul_openapi
428,삼각지,삼각지,4,37.535057,126.973354,0428,428,seoul_openapi
418,성신여대입구,성신여대입구,4,37.592782,127.017338,0418,418,seoul_openapi
419,한성대입구,한성대입구,4,37.58838,127.006751,0419,419,seoul_openapi
420,혜화,혜화,4,37.582116,127.001759,0420,420,seoul_openapi
421,동대문,동대문,4,37.5708397,127.009403,0421,421,seoul_openapi
422,동대문역사문화공원,동대문역사문화공원,4,37.565083,127.007645,0422,422,seoul_openapi
423,충무로,충무로,4,37.561302,126.995473,0423,423,seoul_openapi
424,명동,명동,4,37.561055,126.988271,0424,424,seoul_openapi
426,서울,서울,4,37.553172,126.972836,0426,426,seoul_openapi
427,숙대입구,숙대입구,4,37.545124,126.971952,0427,427,seoul_openapi
2556,올림픽공원,올림픽공원,5,37.516217,127.130957,2556,P550,seoul_openapi
2512,개화산,개화산,5,37.572458,126.806838,2512,511,seoul_openapi
2555,둔촌동,둔촌동,5,37.527787,127.136219,2555,P549,seoul_openapi
2545,군자,군자,5,37.557102,127.079559,2545,544,seoul_openapi
2546,아차산,아차산,5,37.552005,127.089609,2546,545,seoul_openapi
