opr_ymd,stop_id,stop_name,sttn_ars_no,city_code,sgg_cd,emd_cd,ctpv_nm,sgg_nm,emd_nm,latitude,longitude,source,coordinate_status,match_type,region_code_used
20250801,00000936,양동시장역(북),~,29,29140,2914010400,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000937,양동시장역(남),~,29,29140,2914010400,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000947,일가정양립지원본부,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000948,일가정양립지원본부,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000965,염주맨션,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000966,염주사거리(동),~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000967,염주사거리(동),~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000968,염주사거리(서),~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000969,염주초교,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000970,염주초교,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001016,풍암우미아파트,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001024,풍암우미아파트,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001035,우진아파트,~,29,29140,2914010400,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001036,우진아파트,~,29,29140,2914010400,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001065,운천역,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001067,운천역,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001068,운천저수지,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001069,운천저수지,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
