station_id,station_name,normalized_station_name,line,latitude,longitude,source
232,구로디지털단지,구로디지털단지,2,37.485005,126.902626,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
233,대림,대림,2,37.492426,126.895293,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
234,신도림,신도림,2,37.508815,126.891222,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
235,문래,문래,2,37.517993,126.894766,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
236,영등포구청,영등포구청,2,37.525766,126.896627,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
237,당산,당산,2,37.533877,126.902011,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
238,합정,합정,2,37.550025,126.914557,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
239,홍대입구,홍대입구,2,37.556748,126.923643,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
240,신촌,신촌,2,37.555153,126.93689,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
241,이대,이대,2,37.556734,126.945897,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
242,아현,아현,2,37.557407,126.956079,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
243,충정로,충정로,2,37.559742,126.964455,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
201,시청,시청,2,37.563534,126.975271,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
246,신설동,신설동,2,37.574653,127.025158,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
250,용두,용두,2,37.574012,127.03811,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
245,신답,신답,2,37.56147,127.056348,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
244,용답,용답,2,37.566412,126.977863,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
247,도림천,도림천,2,37.514759,126.882586,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
248,양천구청,양천구청,2,37.512194,126.865193,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
249,신정네거리,신정네거리,2,37.520218,126.852849,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
200,까치산,까치산,2,37.53181,126.846706,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
309,지축,지축,3,37.648281,126.912551,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
310,구파발,구파발,3,37.636612,126.918827,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
311,연신내,연신내,3,37.618855,126.920859,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
312,불광,불광,3,37.610554,126.929843,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
313,녹번,녹번,3,37.600882,126.935758,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
314,홍제,홍제,3,37.588851,126.944092,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
315,무악재,무악재,3,37.582658,126.950131,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
316,독립문,독립문,3,37.574534,126.957902,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
317,경복궁,경복궁,3,37.575844,126.973576,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
318,안국,안국,3,37.576562,126.98547,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
