adm_cd,adm_nm,x,y,source_crs,reference_year
1110064,서울특별시 도봉구 도봉1동,958279.0,1965199.0,EPSG:5179,2021
1110065,서울특별시 도봉구 도봉2동,960119.0,1964740.0,EPSG:5179,2021
1111051,서울특별시 노원구 월계1동,961015.0,1958129.0,EPSG:5179,2021
1111052,서울특별시 노원구 월계2동,960410.0,1959489.0,EPSG:5179,2021
1111053,서울특별시 노원구 월계3동,961643.0,1958516.0,EPSG:5179,2021
1111056,서울특별시 노원구 공릉2동,964209.0,1959202.0,EPSG:5179,2021
1111058,서울특별시 노원구 하계1동,962520.0,1959989.0,EPSG:5179,2021
1111059,서울특별시 노원구 하계2동,961619.0,1959690.0,EPSG:5179,2021
1111060,서울특별시 노원구 중계본동,963486.0,1961097.0,EPSG:5179,2021
1111061,서울특별시 노원구 중계1동,962378.0,1961287.0,EPSG:5179,2021
1111064,서울특별시 노원구 중계4동,963171.0,1962282.0,EPSG:5179,2021
1111065,서울특별시 노원구 상계1동,961657.0,1964953.0,EPSG:5179,2021
1111066,서울특별시 노원구 상계2동,961832.0,1962180.0,EPSG:5179,2021
1111069,서울특별시 노원구 상계5동,962080.0,1963009.0,EPSG:5179,2021
1111072,서울특별시 노원구 상계8동,960623.0,1963094.0,EPSG:5179,2021
1111073,서울특별시 노원구 상계9동,961341.0,1963321.0,EPSG:5179,2021
1111074,서울특별시 노원구 상계10동,960968.0,1962340.0,EPSG:5179,2021
1111076,서울특별시 노원구 상계3·4동,963337.0,1964112.0,EPSG:5179,2021
1111077,서울특별시 노원구 상계6·7동,961195.0,1961114.0,EPSG:5179,2021
1111078,서울특별시 노원구 중계2·3동,961711.0,1960521.0,EPSG:5179,2021
1111079,서울특별시 노원구 공릉1동,962380.0,1958385.0,EPSG:5179,2021
1112051,서울특별시 은평구 녹번동,950079.0,1956363.0,EPSG:5179,2021
1112052,서울특별시 은평구 불광1동,950452.0,1957649.0,EPSG:5179,2021
1112055,서울특별시 은평구 갈현1동,948355.0,1958574.0,EPSG:5179,2021
1112056,서울특별시 은평구 갈현2동,948147.0,1957774.0,EPSG:5179,2021
1112057,서울특별시 은평구 구산동,947687.0,1957015.0,EPSG:5179,2021
1112058,서울특별시 은평구 대조동,949088.0,1957143.0,EPSG:5179,2021
1112059,서울특별시 은평구 응암1동,949424.0,1955692.0,EPSG:5179,2021
1112060,서울특별시 은평구 응암2동,949046.0,1954914.0,EPSG:5179,2021
1112065,서울특별시 은평구 신사1동,947790.0,1955904.0,EPSG:5179,2021
1112066,서울특별시 은평구 신사2동,947581.0,1954997.0,EPSG:5179,2021
